epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7262,1.30161,3.0165,1.68395,1,0.97773,0.995,0.65275,1.19164,2.59566,1.79166,0.0001,0.0001,0.0001
2,37.0369,1.46801,2.76142,1.90185,0.61907,1,0.995,0.47434,1.43461,4.73902,2.61094,0.000217822,0.000217822,0.000217822
3,57.6056,1.32958,2.58166,1.62378,0.6093,0.9414,0.84,0.18725,2.37718,5.68285,4.55258,0.000333268,0.000333268,0.000333268
4,77.3454,2.33061,3.10728,2.54937,0.14286,0.4,0.13385,0.03797,2.33535,73.3821,6.61616,0.000446338,0.000446338,0.000446338
5,98.3791,2.16264,3.07272,2.49812,0.125,0.8,0.20217,0.05014,2.5178,102.503,12.8038,0.000557032,0.000557032,0.000557032
6,117.972,2.06304,3.54434,2.36329,0.125,0.8,0.20217,0.05014,2.70864,2192.69,10.804,0.00066535,0.00066535,0.00066535
7,137.521,2.43739,6.36336,2.71409,0.125,0.8,0.20217,0.05014,3.33988,75901.9,34.9243,0.000771292,0.000771292,0.000771292
8,155.497,2.81033,12.4507,2.74397,0.125,0.8,0.20217,0.05014,3.33988,75901.9,34.9243,0.000874858,0.000874858,0.000874858
9,176.068,2.85669,9.17368,2.85327,0.0023,0.6,0.00335,0.00111,3.43331,8657.55,153.901,0.000976048,0.000976048,0.000976048
10,195.53,2.83921,4.16584,2.87817,0.00707,1,0.00881,0.00153,3.08758,49641.8,1767.63,0.00107486,0.00107486,0.00107486
11,212.976,2.66082,5.85636,2.83464,0.00707,1,0.00881,0.00153,3.08758,49641.8,1767.63,0.0011713,0.0011713,0.0011713
12,234.476,2.64308,5.47352,2.69335,0.00707,1,0.00881,0.00153,3.59917,7521.33,26.2668,0.00126536,0.00126536,0.00126536
13,254.447,2.36989,3.35342,2.66761,0.00707,1,0.00881,0.00153,3.59917,7521.33,26.2668,0.00135705,0.00135705,0.00135705
14,274.275,2.41334,3.48646,2.65042,0.00707,1,0.00881,0.00153,3.59917,7521.33,26.2668,0.00144636,0.00144636,0.00144636
15,291.534,2.48656,3.18534,2.95207,0.00707,1,0.00881,0.00153,3.23875,5.7346e+07,442631,0.00153329,0.00153329,0.00153329
16,309.904,2.61178,2.92914,3.09154,0.00707,1,0.00881,0.00153,3.23875,5.7346e+07,442631,0.00161785,0.00161785,0.00161785
17,329.489,2.54555,2.95462,3.06568,0.00707,1,0.00881,0.00153,6.38981,4.31326e+08,3.69805e+06,0.0016832,0.0016832,0.0016832
18,347.066,2.64534,3.11098,2.97533,0.00707,1,0.00881,0.00153,6.38981,4.31326e+08,3.69805e+06,0.0016634,0.0016634,0.0016634
19,366.757,2.55409,3.06243,2.99671,0.00707,1,0.00881,0.00153,6.38981,4.31326e+08,3.69805e+06,0.0016436,0.0016436,0.0016436
20,385.996,2.64481,3.26832,2.95477,0.00707,1,0.00881,0.00153,4.35544,4.31802e+08,84004.7,0.0016238,0.0016238,0.0016238
21,404.394,2.50571,3.55987,2.88681,0.00707,1,0.00881,0.00153,4.35544,4.31802e+08,84004.7,0.001604,0.001604,0.001604
22,423.784,2.59678,3.47696,2.84558,0.00707,1,0.00881,0.00153,4.35544,4.31802e+08,84004.7,0.0015842,0.0015842,0.0015842
23,442.389,2.73744,3.19297,2.91385,0.00707,1,0.00881,0.00153,6.99798,3.2555e+09,3.88889e+06,0.0015644,0.0015644,0.0015644
24,460.67,2.76771,3.21404,3.03837,0.00707,1,0.00881,0.00153,6.99798,3.2555e+09,3.88889e+06,0.0015446,0.0015446,0.0015446
25,479.023,2.63931,3.15422,2.94411,0.00067,0.2,0.00041,0.00016,4.02369,1.52595e+07,25079.3,0.0015248,0.0015248,0.0015248
